epoch,accuracy,loss,val_accuracy,val_loss
0,0.27788540720939636,1.4813505411148071,0.3400576412677765,1.431983232498169
1,0.31940215826034546,1.429343581199646,0.319884717464447,1.4222849607467651
2,0.31580403447151184,1.4161127805709839,0.31700289249420166,1.414928913116455
3,0.3252145051956177,1.4009746313095093,0.3141210377216339,1.406877040863037
4,0.3254912793636322,1.3963916301727295,0.31700289249420166,1.4056485891342163
5,0.333517849445343,1.3901302814483643,0.3141210377216339,1.4038851261138916
6,0.33158040046691895,1.38820481300354,0.3141210377216339,1.4011108875274658
7,0.3346249759197235,1.3811827898025513,0.31700289249420166,1.3991514444351196
8,0.3332410752773285,1.378307819366455,0.3141210377216339,1.3966702222824097
9,0.33407139778137207,1.372495174407959,0.32276657223701477,1.3929544687271118
10,0.33628562092781067,1.369659185409546,0.31123918294906616,1.3951241970062256
11,0.3296429514884949,1.3742586374282837,0.319884717464447,1.3915674686431885
12,0.3379462957382202,1.3687077760696411,0.319884717464447,1.3908580541610718
13,0.33600884675979614,1.3652071952819824,0.319884717464447,1.3902143239974976
14,0.3357320725917816,1.362016201019287,0.32276657223701477,1.3869191408157349
15,0.3354552984237671,1.3627082109451294,0.319884717464447,1.3864474296569824
16,0.3401605188846588,1.3588048219680786,0.31700289249420166,1.3864761590957642
17,0.3354552984237671,1.363288402557373,0.32276657223701477,1.3850111961364746
18,0.3420979678630829,1.3586864471435547,0.319884717464447,1.3862738609313965
19,0.33711597323417664,1.3542695045471191,0.32276657223701477,1.38002610206604
20,0.34071409702301025,1.356603741645813,0.3256484270095825,1.3796414136886597
21,0.3368391990661621,1.3554781675338745,0.32276657223701477,1.3811753988265991
22,0.3379462957382202,1.3548305034637451,0.319884717464447,1.3810683488845825
23,0.3376695215702057,1.3586431741714478,0.319884717464447,1.3802341222763062
24,0.3376695215702057,1.352468729019165,0.32276657223701477,1.379928708076477
