epoch,accuracy,loss,val_accuracy,val_loss
0,0.3614724576473236,1.3399909734725952,0.36887606978416443,1.2975716590881348
1,0.6205369234085083,1.0278723239898682,0.6541786789894104,0.9583699107170105
2,0.7885413765907288,0.6010043621063232,0.7118155360221863,0.7636861205101013
3,0.8508164882659912,0.4140893518924713,0.7089337110519409,0.7420646548271179
4,0.8815388679504395,0.32993677258491516,0.7002881765365601,0.7645488977432251
5,0.9086631536483765,0.2687843441963196,0.6858789920806885,0.8177213072776794
6,0.9272072911262512,0.2283700406551361,0.7146974205970764,0.8526939153671265
7,0.9410462379455566,0.18637396395206451,0.680115282535553,0.9386590719223022
8,0.9532244801521301,0.15705332159996033,0.7002881765365601,0.963897705078125
9,0.9570993781089783,0.14484815299510956,0.6916426420211792,0.9947865009307861
10,0.9634652733802795,0.1240340992808342,0.6974063515663147,1.0369096994400024
11,0.9692776203155518,0.10780203342437744,0.6829971075057983,1.0717942714691162
12,0.9667866230010986,0.10581205040216446,0.6887608170509338,1.1358298063278198
13,0.9723221659660339,0.09859631955623627,0.6887608170509338,1.1780685186386108
14,0.9703847169876099,0.09312058985233307,0.6858789920806885,1.2275633811950684
15,0.973429262638092,0.09022225439548492,0.6829971075057983,1.2813105583190918
16,0.9748131632804871,0.08557667583227158,0.6829971075057983,1.2941677570343018
17,0.9795184135437012,0.07623878866434097,0.7031700015068054,1.3149402141571045
18,0.976473867893219,0.07561255246400833,0.6858789920806885,1.3380300998687744
19,0.977027416229248,0.07306361943483353,0.6945244669914246,1.345379114151001
20,0.976473867893219,0.07108615338802338,0.6916426420211792,1.3954333066940308
21,0.9748131632804871,0.0730571374297142,0.6829971075057983,1.4254413843154907
22,0.976473867893219,0.06899985671043396,0.6657060384750366,1.4788079261779785
23,0.9759202599525452,0.06991201639175415,0.6714697480201721,1.4274522066116333
24,0.9775809645652771,0.06735949963331223,0.6829971075057983,1.4588656425476074
